,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
Diacritiques (incomplet),,,,,,P1 - PC,,P2 - SC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Mạo̭n,Invariable,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃
2,Oncle/Tante,Titre,Invariable,Ṭanc̭le,Invariable,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl
3,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Une,yn,Une,yn
4,Général/Générale,Substantif,al/ale ,Généraḽẹ,aḽẹ,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal
5,Lui/Elle,Pronom personnel COI,Invariable,Eḷḽui,Invariable,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi
6,Il/Elle,Pronom personnel sujet,Invariable,I̭ẹl,Invariable,Ièl,jɛl,Ièl,jɛl,Elle,ɛl,Elle,ɛl,Ièl,jɛl
7,Humain/Humaine,Substantif,ain/aine,Huma̭inẹ ,a̭inẹ ,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn
8,Fort/Forte,Substantif,ort/orte,Forṱẹ ,orṱẹ ,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt
