,,,,,,,,,,,,,,,,,
GRAMMAIRES,,,,,,,,,,,,,,,,,
BBB Read Me,,,,,,,,,,,,,,,,,
ACADAM,,,,,,P1 - PC,,P2 - SC,,P3 - MC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Mo,Invariable,Mo,mo,Mo,mo,Mo,mo,Mo,mo,Mo,mo,Mo,mo
2,Oncle/Tante,Titre,Invariable,Tanl,Invariable,Tanl,tɑ̃l,Tanl,tɑ̃l,Tanl,tɑ̃l,Tanl,tɑ̃l,Tanl,tɑ̃l,Tanl,tɑ̃l
3,Un/Une,Article indéfini,Invariable,Yn,Invariable,Yine,jin,Yine,jin,Ine,in,Ine,in,Ine,in,Un,œ̃
4,Général/Générale,Substantif,al/ale ,Générax,ax,Générax,ʒe.ne.ʁaks,Générax,ʒe.ne.ʁaks,Générax,ʒe.ne.ʁaks,Générax,ʒe.ne.ʁaks,Générax,ʒe.ne.ʁaks,Générax,ʒe.ne.ʁaks
5,Lui/Elle,Pronom personnel COI,Invariable,Ly,Invariable,Ly,li,Ly,li,Ly,li,Ly,li,Ly,li,Ly,li
6,Il/Elle,Pronom personnel sujet,Invariable,Ol,Invariable,Ol,ɔl,Ol,ɔl,Ol,ɔl,Ol,ɔl,Ol,ɔl,Ol,ɔl
7,Humain/Humaine,Substantif,ain/aine,Humainl,ainl,Youmanil,ju.ma.nil,Humènle,y.mɛnl,Humainèle,y.mɛ.nɛl,Humènle,y.mɛnl,Humènle,y.mɛnl,Humunle,y.mœ̃l
8,Fort/Forte,Substantif,ort/orte,Fork,ork,Fork,fɔʁk,Fork,fɔʁk,Fork,fɔʁk,Fork,fɔʁk,Fork,fɔʁk,Fork,fɔʁk
9,Cet/Cette,Déterminant démonstratif,Invariable,Cek,Invariable,Cek,sɛk,Cek,sɛk,Cek,sɛk,Cek,sɛk,Cek,sɛk,Cek,sɛk
,,,,,,p1_pc_acadam_da,,p2_sc_acadam_da,,p3_mc_acadam_da,,p4_eb_acadam_da,,p5_zm_acadam_da,,p6_nc_acadam_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,,,
